Country Code,IMF Country Code,Country,Indicator Type,Series Name,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,,Note
ARG,213,Argentina,Inflation,Headline Consumer Price Inflation,13.6,34.7,58.4,61.2,23.5,182.9,444.0,176.0,175.5,159.5,100.8,104.5,164.8,343.8,626.7,672.2,90.1,131.3,343.0,3079.8,2314.0,171.7,24.9,10.6,4.2,3.4,0.2,0.5,0.9,-1.2,-0.9,-1.1,25.9,13.4,4.4,9.6,10.9,8.8,8.6,6.3,10.5,9.8,10.0,10.6,38.1,26.5,39.4,25.7,34.3,53.5,42.0,48.4,72.4,,Annual average inflation
AUS,193,Australia,Inflation,Headline Consumer Price Inflation,3.4,6.1,6.0,9.1,15.4,15.2,13.3,12.3,8.0,9.1,10.1,9.5,11.4,10.0,4.0,6.7,9.1,8.5,7.2,7.5,7.3,3.2,1.0,1.8,2.0,4.6,2.6,0.2,0.9,1.5,4.5,4.4,3.0,2.7,2.3,2.7,3.6,2.3,4.4,1.8,2.9,3.3,1.8,2.4,2.5,1.5,1.3,2.0,1.9,1.6,0.8,2.8,6.6,,Annual average inflation
BRA,223,Brazil,Inflation,Headline Consumer Price Inflation,22.3,20.1,16.5,12.6,27.6,28.9,42.0,43.7,38.7,53.9,90.2,101.7,100.5,135.0,192.1,226.0,147.1,228.3,629.1,1430.7,2947.7,432.8,952.0,1927.4,2075.9,66.0,15.8,6.9,3.2,4.9,7.0,6.8,8.5,14.7,6.6,6.9,4.2,3.6,5.7,4.9,5.0,6.6,5.4,6.2,6.3,9.0,8.7,3.4,3.7,3.7,3.2,8.3,9.3,,Annual average inflation
CAN,156,Canada,Inflation,Headline Consumer Price Inflation,3.4,2.7,5.0,7.5,11.0,10.7,7.5,8.0,9.0,9.1,10.1,12.5,10.8,5.9,4.3,4.0,4.2,4.4,4.0,5.0,4.8,5.6,1.5,1.9,0.2,2.1,1.6,1.6,1.0,1.7,2.7,2.5,2.3,2.8,1.9,2.2,2.0,2.1,2.4,0.3,1.8,2.9,1.5,0.9,1.9,1.1,1.4,1.6,2.3,1.9,0.7,3.4,6.8,,Annual average inflation
CHN,924,China,Inflation,Headline Consumer Price Inflation,1.1,1.0,1.0,1.0,0.9,1.1,0.3,2.5,0.7,1.9,6.0,2.5,2.0,2.0,2.7,9.5,5.7,7.2,18.9,18.2,3.0,3.6,6.4,14.6,24.3,16.8,8.3,2.8,-0.8,-1.4,0.3,0.7,-0.7,1.1,3.8,1.8,1.6,4.8,5.9,-0.7,3.2,5.6,2.6,2.6,1.9,1.4,2.0,1.6,2.1,2.9,2.4,0.9,2.0,,Annual average inflation
DEU,134,Germany,Inflation,Headline Consumer Price Inflation,3.4,5.2,5.5,7.0,7.0,5.9,4.2,3.7,2.7,4.0,5.4,6.3,5.2,3.3,2.4,2.1,-0.1,0.2,1.3,2.8,2.7,4.0,5.1,4.5,2.7,1.7,1.4,1.9,0.9,0.6,1.4,2.0,1.4,1.0,1.7,1.5,1.6,2.3,2.6,0.3,1.1,2.1,2.0,1.5,0.9,0.5,0.5,1.7,1.7,1.3,0.5,3.1,6.9,,Annual average inflation
FRA,132,France,Inflation,Headline Consumer Price Inflation,5.8,5.4,6.1,7.4,13.6,11.7,9.6,9.5,9.3,10.6,13.6,13.3,12.0,9.5,7.7,5.8,2.5,3.3,2.7,3.5,3.2,3.2,2.4,2.1,1.7,1.8,2.0,1.2,0.7,0.5,1.7,1.6,1.9,2.1,2.1,1.7,1.7,1.5,2.8,0.1,1.5,2.1,2.0,0.9,0.5,0.0,0.2,1.2,1.9,1.3,0.5,1.6,5.2,,Annual average inflation
GBR,112,United Kingdom,Inflation,Headline Consumer Price Inflation,6.4,9.4,7.1,9.2,16.0,24.2,16.6,15.8,8.3,13.4,18.0,11.9,8.6,4.6,5.0,6.1,3.4,4.1,4.2,5.8,8.0,7.4,4.6,2.6,2.2,2.6,2.9,2.2,1.9,1.8,1.1,1.6,1.5,1.3,1.4,2.1,2.5,2.3,3.5,2.0,2.5,3.9,2.6,2.3,1.4,0.4,1.0,2.7,2.3,1.8,1.0,2.5,7.9,,Annual average inflation
HKG,532,"Hong Kong SAR, China",Inflation,Headline Consumer Price Inflation,,,,,,,,,,,4.4,9.5,11.0,9.9,8.6,3.5,3.6,5.7,7.8,10.2,10.3,11.2,9.6,8.8,8.8,9.0,6.3,5.8,2.8,-4.0,-3.7,-1.6,-3.0,-2.6,-0.4,0.9,2.0,2.0,4.3,0.6,2.3,5.3,4.1,4.3,4.4,3.0,2.4,1.5,2.4,2.9,0.3,1.6,1.9,,Annual average inflation
IDN,536,Indonesia,Inflation,Headline Consumer Price Inflation,12.3,4.2,6.5,31.0,40.5,19.2,19.8,11.1,8.1,16.2,18.0,12.3,9.4,11.8,10.5,4.7,5.8,9.3,8.0,6.4,7.8,9.4,7.5,9.7,8.5,9.4,8.0,6.2,58.5,20.5,3.7,11.5,11.9,6.8,6.1,10.5,13.1,6.4,10.2,4.4,5.1,5.4,4.3,6.4,6.4,6.4,3.5,3.8,3.2,2.8,1.9,1.6,4.2,,Annual average inflation
IND,534,India,Inflation,Headline Consumer Price Inflation,5.1,3.1,6.4,16.9,28.6,5.7,-7.6,8.3,2.5,6.3,11.3,13.1,7.9,11.9,8.3,5.6,8.7,8.8,9.4,7.1,9.0,13.9,11.8,6.3,10.2,10.2,9.0,7.2,13.2,4.7,4.0,3.8,4.3,3.8,3.8,4.2,5.8,6.4,8.3,10.9,12.0,8.9,9.3,10.9,6.4,5.9,4.9,3.6,4.9,4.8,6.6,4.9,5.9,,Annual average inflation
ITA,136,Italy,Inflation,Headline Consumer Price Inflation,4.8,4.8,5.7,10.8,19.2,17.0,16.6,17.1,12.1,14.8,21.1,18.0,16.5,14.6,10.8,9.2,5.8,4.7,5.1,6.3,6.5,6.3,5.3,4.6,4.1,5.2,4.0,2.0,2.0,1.7,2.5,2.8,2.5,2.7,2.2,2.0,2.1,1.8,3.3,0.8,1.5,2.8,3.0,1.2,0.2,0.0,-0.1,1.3,1.1,0.6,-0.1,1.9,8.2,,Annual average inflation
JPN,158,Japan,Inflation,Headline Consumer Price Inflation,7.7,6.4,4.8,11.6,23.2,11.7,9.4,8.2,4.2,3.7,7.8,4.9,2.7,1.9,2.3,2.0,0.6,0.1,0.7,2.3,3.1,3.3,1.8,1.2,0.7,-0.1,0.1,1.7,0.7,-0.3,-0.7,-0.7,-0.9,-0.3,0.0,-0.3,0.2,0.1,1.4,-1.4,-0.7,-0.3,-0.1,0.3,2.8,0.8,-0.1,0.5,1.0,0.5,0.0,-0.2,2.5,,Annual average inflation
KOR,542,"Korea, Rep.",Inflation,Headline Consumer Price Inflation,16.1,13.5,11.7,3.2,24.3,25.2,15.3,10.1,14.5,18.3,28.7,21.4,7.2,3.4,2.3,2.5,2.7,3.0,7.1,5.7,8.6,9.3,6.2,4.8,6.3,4.5,4.9,4.4,7.5,0.8,2.3,4.1,2.8,3.5,3.6,2.8,2.2,2.5,4.7,2.8,2.9,4.0,2.2,1.3,1.3,0.7,1.0,1.9,1.5,0.4,0.5,2.5,5.1,,Annual average inflation
MAC,546,"Macao SAR, China",Inflation,Headline Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.2,-1.6,-2.0,-2.6,-1.6,1.0,4.4,5.2,5.6,8.6,1.2,2.8,5.8,6.1,5.5,6.0,4.6,2.4,1.2,3.0,2.8,0.8,0.0,1.0,,Annual average inflation
MEX,273,Mexico,Inflation,Headline Consumer Price Inflation,5.2,5.5,4.9,12.1,23.8,14.9,15.8,29.1,17.5,18.2,26.4,27.9,58.9,101.9,65.4,57.7,86.2,131.8,114.2,20.0,26.7,22.7,15.5,9.8,7.0,35.0,34.4,20.6,15.9,16.6,9.5,6.4,5.0,4.5,4.7,4.0,3.6,4.0,5.1,5.3,4.2,3.4,4.1,3.8,4.0,2.7,2.8,6.0,4.9,3.6,3.4,5.7,7.9,,Annual average inflation
TUR,186,Turkey,Inflation,Headline Consumer Price Inflation,6.9,19.0,15.4,13.9,23.9,21.2,17.5,26.0,61.9,63.5,94.3,37.6,29.1,31.4,48.4,45.0,34.6,38.9,68.8,63.3,60.3,66.0,70.1,66.1,105.2,89.1,80.4,85.7,84.6,64.9,54.9,54.4,45.0,21.6,8.6,8.2,9.6,8.8,10.4,6.3,8.6,6.5,8.9,7.5,8.9,7.7,7.8,11.1,16.3,15.2,12.3,19.6,72.3,,Annual average inflation
USA,111,United States,Inflation,Headline Consumer Price Inflation,5.9,4.3,3.3,6.2,11.1,9.1,5.7,6.5,7.6,11.3,13.5,10.3,6.1,3.2,4.3,3.5,1.9,3.7,4.1,4.8,5.4,4.2,3.0,3.0,2.6,2.8,2.9,2.3,1.6,2.2,3.4,2.8,1.6,2.3,2.7,3.4,3.2,2.9,3.8,-0.4,1.6,3.2,2.1,1.5,1.6,0.1,1.3,2.1,2.4,1.8,1.2,4.7,8.0,,Annual average inflation
ZAF,199,South Africa,Inflation,Headline Consumer Price Inflation,4.1,6.0,6.4,9.4,11.7,13.4,11.0,11.2,11.1,13.3,13.7,15.3,14.6,12.3,11.5,16.3,18.7,16.2,12.8,14.7,14.3,15.3,13.9,9.7,8.9,8.7,7.4,8.6,6.9,5.2,5.3,5.7,9.5,5.7,-0.7,2.1,3.2,6.2,10.1,7.3,4.1,5.0,5.7,5.8,6.1,4.5,6.6,5.3,4.5,4.1,3.2,4.6,7.0,,Annual average inflation
